code  	 type                    	 duration	 participants-number	 participants               	 languages      	 collection-point	 topic	 moderator	 participants-relationship	 year
PBA001	 semistructured-interview	 00:31:52	                   2	 BOR003;BOI006              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBA002	 semistructured-interview	 00:27:58	                   3	 BOR010;BOI053;BOI054       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA003	 semistructured-interview	 00:53:16	                   2	 BOR015;BOI056              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA004	 semistructured-interview	 00:57:15	                   4	 BOR018;BOI060;BOI061;BOI062	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA005	 semistructured-interview	 00:34:07	                   2	 BOR019;BOI063              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA006	 semistructured-interview	 00:46:48	                   2	 BOR020;BOI064              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA007	 semistructured-interview	 00:35:18	                   3	 BOR020;BOI065;BOI066       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA008	 semistructured-interview	 00:42:44	                   2	 BOR020;BOI067              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA009	 semistructured-interview	 00:25:56	                   2	 BOR019;BOI068              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA010	 semistructured-interview	 00:31:17	                   2	 BOR019;BOI069              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA011	 semistructured-interview	 00:39:11	                   3	 BOR021;BOI070;BOI071       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBA012	 semistructured-interview	 00:40:31	                   3	 BOR018;BOI072;BOI073       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA013	 semistructured-interview	 00:55:52	                   3	 BOR018;BOI074;BOI075       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA014	 semistructured-interview	 00:27:54	                   2	 BOR019;BOI076              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA015	 semistructured-interview	 00:24:28	                   2	 BOR019;BOI077              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA016	 semistructured-interview	 00:32:01	                   4	 BOR020;BOR022;BOI078;BOI079	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA017	 semistructured-interview	 00:36:52	                   3	 BOR022;BOI080;BOI081       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA018	 semistructured-interview	 00:35:01	                   2	 BOR022;BOI082              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA019	 semistructured-interview	 01:24:11	                   4	 BOR022;BOR023;BOI083;BOI084	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA020	 semistructured-interview	 00:25:53	                   3	 BOR028;BOI089;BOR029       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA021	 semistructured-interview	 00:45:31	                   2	 BOR030;BOI090              	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2023
PBA025	 semistructured-interview	 00:29:28	                   2	 BOR034;BOI096              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBA026	 semistructured-interview	 00:55:57	                   2	 BOR034;BOI105              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBA027	 semistructured-interview	 00:52:21	                   3	 BOR036;BOI106;BOI107       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBA028	 semistructured-interview	 01:05:40	                   3	 BOR031;BOI110;BOI111       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBA029	 semistructured-interview	 00:50:24	                   3	 BOR028;BOI113;BOI114       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBA030	 semistructured-interview	 00:39:04	                   3	 BOR031;BOI115;BOI116       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2024
PBB001	 semistructured-interview	 00:52:36	                   2	 BOR001;BOI002              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBB002	 semistructured-interview	 00:35:54	                   2	 BOR001;BOI003              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBB003	 semistructured-interview	 00:49:48	                   3	 BOR002;BOI004;BOI005       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBB004	 semistructured-interview	 00:35:54	                   3	 BOR005;BOI012;BOI013       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBB005	 semistructured-interview	 00:46:48	                   3	 BOR001;BOI015;BOI016       	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2021
PBB006	 semistructured-interview	 01:00:07	                   2	 BOR002;BOI020              	 italian        	 BO              	 fixed	 yes      	 asymmetric               	 2022
PBB007	 semistructured-interview	 00:37:32	                   3	 BOR005;BOI024;BOI025       	 italian;dialect	 BO              	 fixed	 yes      	 asymmetric               	 2022
