token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR018	0	allora	allora	linguistic	none	_	Begin=1.123|End=1.65	_	_	_	_
1-0	BOR018	1	eccoci	eccoci	linguistic	none	_	Begin=2.28	_	_	_	_
1-1	BOR018	1	qui	qui	linguistic	none	_	End=2.96	_	_	_	_
2-0	BOR018	2	inizio	inizio	linguistic	none	_	Begin=3.355	_	_	_	_
2-1	BOR018	2	col	col	linguistic	none	_	_	_	_	_	_
2-2	BOR018	2	chiederti	chiederti	linguistic	none	_	End=4.528	_	_	_	_
3-0	BOR018	3	in	in	linguistic	none	_	Begin=4.644	_	_	_	_
3-1	BOR018	3	che	che	linguistic	none	_	_	_	_	_	_
3-2	BOR018	3	zona:	zona	linguistic	none	_	_	3x1	_	_	_
3-3	BOR018	3	vivi?	vivi	linguistic	none	Intonation=Rising	_	_	_	_	_
3-4	BOR018	3	di	di	linguistic	none	_	_	_	_	_	_
3-5	BOR018	3	dove	dove	linguistic	none	_	_	_	_	_	_
3-6	BOR018	3	sei	sei	linguistic	none	_	End=6.471	_	_	_	_
4-0	BOI074	4	io	io	linguistic	none	_	Begin=7.157	_	_	_	_
4-1	BOI074	4	abito:	abito	linguistic	none	_	_	4x1	_	_	_
4-2	BOI074	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-3	BOI074	4	vicino	vicino	linguistic	none	_	_	_	_	_	_
4-4	BOI074	4	al	al	linguistic	none	_	_	_	_	_	_
4-5	BOI074	4	centro	centro	linguistic	none	_	_	_	_	_	_
4-6	BOI074	4	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
4-7	BOI074	4	un	un	linguistic	none	_	_	_	_	_	_
4-8	BOI074	4	q~	q~	linguistic	none	Interrupted=Yes	_	_	_	_	_
4-9	BOI074	4	un	un	linguistic	none	_	_	_	_	_	_
4-10	BOI074	4	quarto	quarto	linguistic	none	_	_	_	_	_	_
4-11	BOI074	4	d'	d'	linguistic	none	SpaceAfter=No	_	_	_	_	_
4-12	BOI074	4	ora	ora	linguistic	none	_	_	_	_	_	_
4-13	BOI074	4	in	in	linguistic	none	_	_	_	_	_	_
4-14	BOI074	4	macchina:	macchina	linguistic	none	_	_	7x1	_	_	_
4-15	BOI074	4	e::h	eh	linguistic	none	_	End=12.07	0x2	_	_	_
5-0	BOI074	5	il	il	linguistic	none	_	Begin=12.413	_	_	_	_
5-1	BOI074	5	paese	paese	linguistic	none	_	_	_	_	_	_
5-2	BOI074	5	si	si	linguistic	none	_	_	_	_	_	_
5-3	BOI074	5	chiama	chiama	linguistic	none	_	_	_	_	_	_
5-4	BOI074	5	crespellano,	crespellano	linguistic	none	Intonation=WeaklyRising	End=14.049	_	_	_	_
6-0	BOI074	6	e:::	e	linguistic	none	_	Begin=14.661|End=16.403	0x3	_	_	_
7-0	BOI074	7	e	e	linguistic	none	_	Begin=16.62	_	_	_	_
7-1	BOI074	7	niente	niente	linguistic	none	_	_	_	_	_	_
7-2	BOI074	7	>cioè<	cioè	linguistic	none	_	_	_	Fast=0-4	_	_
7-3	BOI074	7	m:h	mh	linguistic	none	_	End=17.776	0x1	_	_	_
8-0	BOR018	8	abbiamo	abbiamo	linguistic	none	_	Begin=18.611	_	_	_	_
8-1	BOR018	8	scoperto	scoperto	linguistic	none	_	_	_	_	_	_
8-2	BOR018	8	che	che	linguistic	none	_	_	_	_	_	_
8-3	BOR018	8	conosci	conosci	linguistic	none	_	_	_	_	_	_
8-4	BOR018	8	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
8-5	BOR018	8	un	un	linguistic	none	_	_	_	_	_	_
8-6	BOR018	8	mio	mio	linguistic	none	_	End=20.528	_	_	_	_
9-0	BOR018	9	amico	amico	linguistic	none	_	Begin=20.942	_	_	_	_
9-1	BOR018	9	(.)	[PAUSE]	shortpause	none	_	_	_	_	_	_
9-2	BOR018	9	tra	tra	linguistic	none	_	_	_	_	_	_
9-3	BOR018	9	virgolette,	virgolette	linguistic	none	Intonation=WeaklyRising	End=22.148	_	_	_	_
10-0	BOI074	10	sì	sì	linguistic	none	_	Begin=22.289	_	_	_	_
10-1	BOI074	10	un	un	linguistic	none	_	_	_	_	_	_
10-2	BOI074	10	conoscente	conoscente	linguistic	none	_	_	_	_	_	_
10-3	BOI074	10	[ma	ma	linguistic	none	_	_	_	_	_	0-2(0)
10-4	BOI074	10	perché	perché	linguistic	none	_	_	_	_	_	0-6(0)
