token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR022	0	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=2.34	_	_	_	_
0-1	BOR022	0	0	1	allora::	allora	_	_	_	_	_	linguistic	_	none	_	_	5x2	_	_	_
0-2	BOR022	0	0	2	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	BOR022	0	0	3	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	BOR022	0	0	4	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	BOR022	0	0	5	vi:	vi	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
0-6	BOR022	0	0	6	chiederei::	chiederei	_	_	_	_	_	linguistic	_	none	_	_	8x2	_	_	_
0-7	BOR022	0	0	7	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	BOR022	0	0	8	vi	vi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	BOR022	0	0	9	chiamate	chiamate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	BOR022	0	0	10	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=7.11	_	_	_	_
1-0	BOI083	1	1	0	marco	marco	_	_	_	_	_	linguistic	_	none	_	Begin=7.795|End=8.395	_	_	_	_
2-0	BOI084	2	2	0	alessandro	alessandro	_	_	_	_	_	linguistic	_	none	_	Begin=9.61|End=10.3	_	_	_	_
3-0	BOR022	3	3	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=10.46|End=10.79	_	_	_	_
4-0	BOR022	4	4	0	e::hm::	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=12.1	0x2,2x2	_	_	_
4-1	BOR022	4	4	1	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	BOR022	4	4	2	quanto	quanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	BOR022	4	4	3	tempo	tempo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	BOR022	4	4	4	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	BOR022	4	4	5	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	BOR022	4	4	6	state	state	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	BOR022	4	4	7	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-8	BOR022	4	4	8	bologna?	bologna	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=15.54	_	_	_	_
5-0	BOI083	5	5	0	tre	tre	_	_	_	_	_	linguistic	_	none	_	Begin=17.47	_	_	_	_
5-1	BOI083	5	5	1	anni	anni	_	_	_	_	_	linguistic	_	none	_	End=17.958	_	_	_	_
6-0	BOI084	6	6	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=18.68	_	_	_	_
6-1	BOI084	6	6	1	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	BOI084	6	6	2	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	BOI084	6	6	3	me~	me~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
6-4	BOI084	6	6	4	siamo	siamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	BOI084	6	6	5	saliti	saliti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	BOI084	6	6	6	in[sieme	insieme	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	2-7(0)
6-7	BOI084	6	6	7	°quindi°]	quindi	_	_	_	_	_	linguistic	_	none	Volume=low	End=20.97	_	_	_	0-6(0)
7-0	BOI083	7	7	0	[quasi	quasi	_	_	_	_	_	linguistic	_	none	_	Begin=20.165	_	_	_	0-5(0)
7-1	BOI083	7	7	1	quasi	quasi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(0)
7-2	BOI083	7	7	2	tre]	tre	_	_	_	_	_	linguistic	_	none	_	End=20.974	_	_	_	0-3(0)
8-0	BOR022	8	8	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=21.26	_	_	_	_
8-1	BOR022	8	8	1	okay	okay	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	BOR022	8	8	2	[quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(1)
8-3	BOR022	8	8	3	è	è	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	0-1(1)
8-4	BOR022	8	8	4	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
8-5	BOR022	8	8	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(1)
8-6	BOR022	8	8	6	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
8-7	BOR022	8	8	7	bel	bel	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
8-8	BOR022	8	8	8	po']	po'	_	_	_	_	_	linguistic	_	none	_	End=23.479	_	_	_	0-3(1)
9-0	BOI084	9	9	0	[quasi	quasi	_	_	_	_	_	linguistic	_	none	_	Begin=21.62	_	_	_	0-5(1)
9-1	BOI084	9	9	1	tre	tre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
9-2	BOI084	9	9	2	anni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(1)
9-3	BOI084	9	9	3	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
9-4	BOI084	9	9	4	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(1)
9-5	BOI084	9	9	5	mezzo]	mezzo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(1)
9-6	BOI084	9	9	6	quasi	quasi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	BOI084	9	9	7	tre	tre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-8	BOI084	9	9	8	anni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-9	BOI084	9	9	9	sì	sì	_	_	_	_	_	linguistic	_	none	_	End=23.87	_	_	_	_
10-0	BOR022	10	10	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=24.7|End=25.08	_	_	_	_
11-0	BOR022	11	11	0	e::	e	_	_	_	_	_	linguistic	_	none	_	Begin=25.83	0x2	_	_	_
11-1	BOR022	11	11	1	vi	vi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	BOR022	11	11	2	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	BOR022	11	11	3	trovate	trovate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	BOR022	11	11	4	bene?	bene	_	_	_	_	_	linguistic	_	none	Intonation=Rising	_	_	_	_	_
11-5	BOR022	11	11	5	come::?	come	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=28.57	3x2	_	_	_
12-0	BOI083	12	12	0	abbastanza	abbastanza	_	_	_	_	_	linguistic	_	none	_	Begin=28.8	_	_	_	_
12-1	BOI083	12	12	1	bene	bene	_	_	_	_	_	linguistic	_	none	_	End=29.59	_	_	_	_
13-0	BOI084	13	13	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=29.75	_	_	_	_
13-1	BOI084	13	13	1	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	BOI084	13	13	2	io::	io	_	_	_	_	_	linguistic	_	none	_	_	1x2	_	_	_
13-3	BOI084	13	13	3	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-4	BOI084	13	13	4	livello	livello	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-5	BOI084	13	13	5	lavorativo,	lavorativo	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
13-6	BOI084	13	13	6	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-7	BOI084	13	13	7	livello	livello	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-8	BOI084	13	13	8	sociale,	sociale	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
13-9	BOI084	13	13	9	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-10	BOI084	13	13	10	città,	città	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
13-11	BOI084	13	13	11	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-12	BOI084	13	13	12	servizi	servizi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-13	BOI084	13	13	13	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-14	BOI084	13	13	14	benissimo	benissimo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-15	BOI084	13	13	15	diciamo	diciamo	_	_	_	_	_	linguistic	_	none	_	End=34.79	_	_	_	_
14-0	BOR022	14	14	0	ci	ci	_	_	_	_	_	linguistic	_	none	_	Begin=35.0	_	_	_	_
14-1	BOR022	14	14	1	sta	sta	_	_	_	_	_	linguistic	_	none	_	End=35.637	_	_	_	_
15-0	BOI084	15	15	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=35.637|End=35.975	_	_	_	_
16-0	BOR022	16	16	0	e::hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=37.02	0x2	_	_	_
16-1	BOR022	16	16	1	nel	nel	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	BOR022	16	16	2	senso	senso	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
16-3	BOR022	16	16	3	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
16-4	BOR022	16	16	4	m:h	mh	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
16-5	BOR022	16	16	5	tutta	tutta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-6	BOR022	16	16	6	la::	la	_	_	_	_	_	linguistic	_	none	_	End=39.927	1x2	_	_	_
17-0	BOR022	17	17	0	e::hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=41.34|End=42.482	0x2	_	_	_
18-0	BOR022	18	18	0	diciamo	diciamo	_	_	_	_	_	linguistic	_	none	_	Begin=42.57	_	_	_	_
18-1	BOR022	18	18	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-2	BOR022	18	18	2	tradizione	tradizione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-3	BOR022	18	18	3	di::	di	_	_	_	_	_	linguistic	_	none	_	_	1x2	_	_	_
18-4	BOR022	18	18	4	manifestazioni,	manifestazioni	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
18-5	BOR022	18	18	5	vita	vita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-6	BOR022	18	18	6	giovanile	giovanile	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-7	BOR022	18	18	7	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-8	BOR022	18	18	8	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
18-9	BOR022	18	18	9	è	è	_	_	_	_	_	linguistic	_	none	_	End=47.62	_	_	_	_
19-0	BOR022	19	19	0	come::	come	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=47.75	3x2	_	_	_
19-1	BOR022	19	19	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
19-2	BOR022	19	19	2	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-3	BOR022	19	19	3	ne	ne	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-4	BOR022	19	19	4	pensate	pensate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-5	BOR022	19	19	5	co[me	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	2-4(2)
19-6	BOR022	19	19	6	vi]	vi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(2)
19-7	BOR022	19	19	7	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-8	BOR022	19	19	8	trovate	trovate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
