token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR005	0	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=1.24	_	_	_	_
0-1	BOR005	0	0	1	allora	allora	_	_	_	_	_	linguistic	_	none	_	End=2.58	_	_	_	_
1-0	BOR005	1	1	0	voi	voi	_	_	_	_	_	linguistic	_	none	_	Begin=4.11	_	_	_	_
1-1	BOR005	1	1	1	abitate	abitate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	BOR005	1	1	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	BOR005	1	1	3	bologna	bologna	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	BOR005	1	1	4	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-5	BOR005	1	1	5	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	BOR005	1	1	6	provincia?	provincia	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=6.683	_	_	_	_
2-0	BOI024	2	2	0	provincia	provincia	_	_	_	_	_	linguistic	_	none	_	Begin=7.49|End=8.039	_	_	_	_
3-0	BOR005	3	3	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=9.2	_	_	_	_
3-1	BOR005	3	3	1	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	BOR005	3	3	2	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	BOR005	3	3	3	chiama	chiama	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	BOR005	3	3	4	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	BOR005	3	3	5	paese	paese	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	BOR005	3	3	6	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	BOR005	3	3	7	città?	città	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=11.19	_	_	_	_
4-0	BOI025	4	4	0	funo	funo	_	_	_	_	_	linguistic	_	none	_	Begin=11.872	_	_	_	_
4-1	BOI025	4	4	1	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	BOI025	4	4	2	argelato	argelato	_	_	_	_	_	linguistic	_	none	_	End=13.179	_	_	_	_
5-0	BOR005	5	5	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=13.23|End=13.55	_	_	_	_
6-0	BOI024	6	6	0	x[xx]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	Begin=13.55|End=14.119	_	_	_	1-3(0)
7-0	BOI025	7	7	0	[il	il	_	_	_	_	_	linguistic	_	none	_	Begin=13.824	_	_	_	0-2(0)
7-1	BOI025	7	7	1	comu]ne	comune	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(0)
7-2	BOI025	7	7	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	BOI025	7	7	3	argelato	argelato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	BOI025	7	7	4	[la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
7-5	BOI025	7	7	5	frazi]one	frazione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(1)
7-6	BOI025	7	7	6	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	BOI025	7	7	7	fu[no]	funo	_	_	_	_	_	linguistic	_	none	_	End=16.01	_	_	_	2-4(2)
8-0	BOR005	8	8	0	[mhmh]	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=14.95|End=15.359	_	_	_	0-4(1)
9-0	BOR005	9	9	0	[mh]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=15.751|End=16.011	_	_	_	0-2(2)
10-0	BOR005	10	10	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=16.536	_	_	_	_
10-1	BOR005	10	10	1	avete	avete	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	BOR005	10	10	2	mai	mai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	BOR005	10	10	3	abitato	abitato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-4	BOR005	10	10	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-5	BOR005	10	10	5	bologna	bologna	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-6	BOR005	10	10	6	città?	città	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=18.652	_	_	_	_
11-0	BOI024	11	11	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=18.763	_	_	_	_
11-1	BOI024	11	11	1	io	io	_	_	_	_	_	linguistic	_	none	_	End=19.308	_	_	_	_
12-0	BOI025	12	12	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=19.69	_	_	_	_
12-1	BOI025	12	12	1	no	no	_	_	_	_	_	linguistic	_	none	_	End=19.972	_	_	_	_
13-0	BOR005	13	13	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=20.445	_	_	_	_
13-1	BOR005	13	13	1	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	BOR005	13	13	2	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-3	BOR005	13	13	3	zo~	zo~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
13-4	BOR005	13	13	4	°m:h°	mh	_	_	_	_	_	linguistic	_	none	Volume=low	_	0x1	_	_	_
13-5	BOR005	13	13	5	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-6	BOR005	13	13	6	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-7	BOR005	13	13	7	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-8	BOR005	13	13	8	zona	zona	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-9	BOR005	13	13	9	abitavi?	abitavi	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=22.74	_	_	_	_
14-0	BOI024	14	14	0	casteldebole	casteldebole	_	_	_	_	_	linguistic	_	none	_	Begin=23.109|End=24.106	_	_	_	_
15-0	BOR005	15	15	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=24.872|End=25.172	_	_	_	_
16-0	BOR005	16	16	0	da	da	_	_	_	_	_	linguistic	_	none	_	Begin=25.472	_	_	_	_
16-1	BOR005	16	16	1	quando	quando	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	BOR005	16	16	2	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-3	BOR005	16	16	3	nata	nata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-4	BOR005	16	16	4	fino	fino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-5	BOR005	16	16	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-6	BOR005	16	16	6	quando	quando	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-7	BOR005	16	16	7	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-8	BOR005	16	16	8	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-9	BOR005	16	16	9	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-10	BOR005	16	16	10	trasferita	trasferita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-11	BOR005	16	16	11	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-12	BOR005	16	16	12	funo	funo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-13	BOR005	16	16	13	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-14	BOR005	16	16	14	sempre	sempre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-15	BOR005	16	16	15	abitato	abitato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-16	BOR005	16	16	16	lì,	lì	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|PauseAfter=Yes	_	_	_	_	_
16-17	BOR005	16	16	17	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
16-18	BOR005	16	16	18	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-19	BOR005	16	16	19	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-20	BOR005	16	16	20	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-21	BOR005	16	16	21	altre	altre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-22	BOR005	16	16	22	zone	zone	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-23	BOR005	16	16	23	[di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(3)
16-24	BOR005	16	16	24	bol]ogn[a]	bologna	_	_	_	_	_	linguistic	_	none	_	End=31.161	_	_	_	0-3(3),6-7(4)
17-0	BOI024	17	17	0	([no])	no	_	_	_	_	_	linguistic	_	none	_	Begin=30.476|End=30.672	_	_	0-2(0)	0-2(3)
18-0	BOI024	18	18	0	[m]h:	mh	_	_	_	_	_	linguistic	_	none	_	Begin=31.068	1x1	_	_	0-1(4)
18-1	BOI024	18	18	1	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-2	BOI024	18	18	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-3	BOI024	18	18	3	abitato	abitato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-4	BOI024	18	18	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-5	BOI024	18	18	5	milano	milano	_	_	_	_	_	linguistic	_	none	_	End=32.43	_	_	_	_
19-0	BOI024	19	19	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=33.332	_	_	_	_
19-1	BOI024	19	19	1	po:i	poi	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
19-2	BOI024	19	19	2	basta	basta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-3	BOI024	19	19	3	no	no	_	_	_	_	_	linguistic	_	none	_	End=34.669	_	_	_	_
20-0	BOR005	20	20	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=34.707|End=35.03	_	_	_	_
21-0	BOI024	21	21	0	quindi:	quindi	_	_	_	_	_	linguistic	_	none	_	Begin=35.369	5x1	_	_	_
21-1	BOI024	21	21	1	solo	solo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
21-2	BOI024	21	21	2	lì	lì	_	_	_	_	_	linguistic	_	none	_	End=36.069	_	_	_	_
22-0	BOR005	22	22	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=38.582|End=38.893	_	_	_	_
23-0	BOR005	23	23	0	ehm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=39.907|End=40.408	_	_	_	_
24-0	BOR005	24	24	0	riguardo	riguardo	_	_	_	_	_	linguistic	_	none	_	Begin=40.784|End=41.369	_	_	_	_
25-0	BOR005	25	25	0	la	la	_	_	_	_	_	linguistic	_	none	_	Begin=41.961	_	_	_	_
25-1	BOR005	25	25	1	zona	zona	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
25-2	BOR005	25	25	2	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
