token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR008	0	io	io	linguistic	none	_	Begin=0.49	_	_	_	_
0-1	BOR008	0	inizierei	inizierei	linguistic	none	_	_	_	_	_	_
0-2	BOR008	0	a	a	linguistic	none	_	_	_	_	_	_
0-3	BOR008	0	chiederle	chiederle	linguistic	none	_	_	_	_	_	_
0-4	BOR008	0	in	in	linguistic	none	_	_	_	_	_	_
0-5	BOR008	0	quale	quale	linguistic	none	_	_	_	_	_	_
0-6	BOR008	0	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
0-7	BOR008	0	di	di	linguistic	none	_	_	_	_	_	_
0-8	BOR008	0	bologna	bologna	linguistic	none	_	_	_	_	_	_
0-9	BOR008	0	vive,	vive	linguistic	none	Intonation=WeaklyRising	End=3.293	_	_	_	_
1-0	BOI032	1	abito	abito	linguistic	none	_	Begin=3.97	_	_	_	_
1-1	BOI032	1	nel	nel	linguistic	none	_	_	_	_	_	_
1-2	BOI032	1	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
1-3	BOI032	1	navile	navile	linguistic	none	_	_	_	_	_	_
1-4	BOI032	1	ma	ma	linguistic	none	_	_	_	_	_	_
1-5	BOI032	1	mh	mh	linguistic	none	_	End=6.7	_	_	_	_
2-0	BOI032	2	prima	prima	linguistic	none	_	Begin=7.32	_	_	_	_
2-1	BOI032	2	era	era	linguistic	none	_	_	_	_	_	_
2-2	BOI032	2	lame	lame	linguistic	none	_	_	_	_	_	_
2-3	BOI032	2	in	in	linguistic	none	_	_	_	_	_	_
2-4	BOI032	2	particolare	particolare	linguistic	none	_	_	_	_	_	_
2-5	BOI032	2	zona	zona	linguistic	none	_	_	_	_	_	_
2-6	BOI032	2	lame	lame	linguistic	none	_	End=9.81	_	_	_	_
3-0	BOR008	3	okay	okay	linguistic	none	_	Begin=9.81|End=10.198	_	_	_	_
4-0	BOI032	4	e	e	linguistic	none	_	Begin=10.204	_	_	_	_
4-1	BOI032	4	sono	sono	linguistic	none	_	_	_	_	_	_
4-2	BOI032	4	nata	nata	linguistic	none	_	_	_	_	_	_
