token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	BOR012	0	ciao	ciao	linguistic	none	_	Begin=0.95	_	_	_	_
0-1	BOR012	0	nonna	nonna	linguistic	none	_	End=1.58	_	_	_	_
1-0	BOI051	1	ciao	ciao	linguistic	none	_	Begin=1.71	_	_	_	_
1-1	BOI051	1	sara:	sara	linguistic	none	_	End=2.4	3x1	_	_	_
2-0	BOR012	2	iniziamo	iniziamo	linguistic	none	_	Begin=2.95	_	_	_	_
2-1	BOR012	2	con	con	linguistic	none	_	_	_	_	_	_
2-2	BOR012	2	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
2-3	BOR012	2	intervista	intervista	linguistic	none	_	End=4.33	_	_	_	_
3-0	BOR012	3	allora	allora	linguistic	none	_	Begin=5.38|End=5.79	_	_	_	_
4-0	BOR012	4	dove	dove	linguistic	none	_	Begin=6.0	_	_	_	_
4-1	BOR012	4	sei	sei	linguistic	none	_	_	_	_	_	_
4-2	BOR012	4	nata?	nata	linguistic	none	Intonation=Rising	End=6.89	_	_	_	_
5-0	BOI051	5	a	a	linguistic	none	_	Begin=7.03	_	_	_	_
5-1	BOI051	5	bolo:gna	bologna	linguistic	none	_	End=7.67	3x1	_	_	_
6-0	BOI051	6	((tossisce))	((tossisce))	nonverbalbehavior	none	_	Begin=8.135|End=8.615	_	_	_	_
7-0	BOR012	7	e:hm	ehm	linguistic	none	_	Begin=8.462|End=9.222	0x1	_	_	_
8-0	BOR012	8	dove:	dove	linguistic	none	_	Begin=10.027	3x1	_	_	_
8-1	BOR012	8	in	in	linguistic	none	_	_	_	_	_	_
8-2	BOR012	8	che	che	linguistic	none	_	_	_	_	_	_
8-3	BOR012	8	quartiere	quartiere	linguistic	none	_	_	_	_	_	_
8-4	BOR012	8	vivevi	vivevi	linguistic	none	_	_	_	_	_	_
8-5	BOR012	8	quando:	quando	linguistic	none	_	End=12.722	5x1	_	_	_
9-0	BOR012	9	((tossisce))	((tossisce))	nonverbalbehavior	none	_	Begin=13.042|End=13.402	_	_	_	_
10-0	BOR012	10	quando:	quando	linguistic	none	_	Begin=13.447|End=14.047	5x1	_	_	_
11-0	BOR012	11	sei	sei	linguistic	none	_	Begin=14.412	_	_	_	_
11-1	BOR012	11	nata?	nata	linguistic	none	Intonation=Rising	End=15.072	_	_	_	_
12-0	BOR012	12	di	di	linguistic	none	_	Begin=15.327	_	_	_	_
12-1	BOR012	12	[bologna]?	bologna	linguistic	none	Intonation=Rising	End=15.877	_	_	_	0-7(0)
13-0	BOI051	13	[ho	ho	linguistic	none	_	Begin=15.467	_	_	_	0-2(0)
13-1	BOI051	13	sem]pre	sempre	linguistic	none	_	_	_	_	_	0-3(0)
13-2	BOI051	13	vissuto	vissuto	linguistic	none	_	_	_	_	_	_
13-3	BOI051	13	nella	nella	linguistic	none	_	_	_	_	_	_
13-4	BOI051	13	bolognina	bolognina	linguistic	none	_	_	_	_	_	_
13-5	BOI051	13	fino	fino	linguistic	none	_	_	_	_	_	_
13-6	BOI051	13	ai	ai	linguistic	none	_	_	_	_	_	_
13-7	BOI051	13	quarant'	quarant'	linguistic	none	SpaceAfter=No	_	_	_	_	_
13-8	BOI051	13	anni	anni	linguistic	none	_	End=18.097	_	_	_	_
14-0	BOR012	14	oka:y	okay	linguistic	none	_	Begin=18.62|End=19.157	2x1	_	_	_
15-0	BOR012	15	e:hm	ehm	linguistic	none	_	Begin=20.007|End=20.947	0x1	_	_	_
